protein1	protein2	cost
STAT3	SMARCA4	55.74080706268053
STAT3	FGFR1	27.12886134839765
STAT3	PTK2	41.04312905530044
STAT3	MAPK8	46.595953489952734
STAT3	JAK2	21.168246234788484
STAT3	NFKB1	36.392387801350736
STAT3	PIAS3	22.69311001192212
STAT3	RELA	62.39515615736793
STAT3	AR	72.90853613433244
STAT3	SRC	59.31958897158573
STAT3	TRIM28	52.63202336476307
STAT3	BMX	12.81560282754796
STAT3	STAT1	41.49665806139685
STAT3	MTOR	36.77877837295742
STAT3	RAC1	43.26325670499477
STAT3	SIAH1	36.77604055198601
STAT3	NCOA1	38.30616402967294
STAT3	HDAC3	58.36532423378233
STAT3	HDAC2	71.08878482538677
STAT3	HIF1A	66.46227605570371
STAT3	SRI	12.236696876926466
STAT3	JUN	57.72038372781012
STAT3	PTPN11	44.120038032068436
STAT3	ERBB2	33.832827265228026
STAT3	RET	14.46049700475467
STAT3	HDAC1	100.16168070011301
STAT3	HDAC6	49.705697687019764
STAT3	NFKB2	25.226596866116783
STAT3	JAK1	27.362086036866955
STAT3	NR3C1	27.25095898704555
STAT3	KDM1A	57.395195879718045
STAT3	SP1	55.75985552474138
STAT3	CCND1	36.7100906307794
STAT3	CDK9	50.82281914058623
STAT3	HSP90B1	26.669262544631117
STAT3	SIN3A	50.82281914058623
STAT3	PELP1	24.473393753852932
STAT3	PRKCD	31.197578078683964
STAT3	MYOD1	18.450130769923643
STAT3	NR4A1	18.655381127304388
STAT3	MAP3K7	40.14483641447947
STAT3	NDUFA13	21.19458070765604
STAT3	DNMT1	31.15639444594496
STAT3	TWIST1	19.20280881046102
STAT3	HES1	22.060019016034218
STAT3	ECH1	15.392169255821223
STAT3	FGR	17.305302681997908
STAT3	ALK	19.347916584078373
STAT3	PTPN2	22.892763629632764
STAT3	ELP2	13.681043018433478
STAT3	BICD1	8.652651340998954
STAT3	TRIM24	28.697597939859023
STAT3	NFKBIZ	8.652651340998954
STAT3	SOCS7	11.954704272559022
STAT3	GNL3	22.892763629632764
STAT3	SETD7	24.473393753852932
STAT3	RPS9	43.26325670499477
STAT3	HIC1	22.060019016034218
STAT3	MAGEC2	13.681043018433478
STAT3	HES5	6.118348438463233
STAT3	SULT2A1	6.118348438463233
STAT3	MRPS31	13.839775057816096
STAT3	BCKDK	5.526195177157181
STAT3	CORO1A	8.652651340998954
STAT3	OGDHL	6.118348438463233
STAT3	MORC4	8.652651340998954
STAT3	MYOF	6.118348438463233
ARF1	GGA3	13.79451693178493
ARF1	COPB1	12.961481396815717
ARF1	AP4E1	5.589089439999935
ARF1	AGR2	48.497422611928556
ARF1	GGA1	14.85586634441278
ARF1	PLD2	10.95445115010332
ARF1	CHRM3	3.9815350268724874
ARF1	PLD1	12.489995996796795
ARF1	ARFGAP1	5.999999999999999
ARF1	ASAP1	8.99108209030443
ARF1	AGAP1	5.906099846985849
ARF1	HTR2A	2.737917670726927
GGA3	ARF3	8.904322390963213
GGA3	ITGB1	20.638173269405154
GGA3	MET	14.357788437978282
GGA3	RABEP1	11.928927581576675
GGA3	NTRK1	19.50839293131554
GGA3	ARF6	16.418759229110766
GGA3	RNF11	18.609651775431885
GGA3	UBC	62.00247019872373
GGA3	GGA1	17.07745831869467
GGA3	M6PR	6.897258465892465
GGA3	IGF2R	8.904322390963213
GGA3	VPS18	13.20724444889468
GGA3	PACS1	5.631587955176012
GGA3	BACE1	9.75419646565777
GGA3	TBC1D3	5.631587955176012
GGA3	ADRA2B	5.631587955176012
ARF3	ARFIP2	6.32455532033676
ARF3	ARFIP1	2.23606797749979
ARF3	GGA1	9.589420490898995
ARF3	KIF23	4.856318198216699
ARFIP2	CDKN2A	15.152621449584991
ARFIP2	ARF6	11.661903789690601
ARFIP2	RAC1	20.0
ARFIP2	ITSN1	12.0
ARFIP2	ITGB3BP	9.532612705872982
ARFIP2	ARL1	5.656854249492381
ARFIP2	ARF5	4.000000000000001
APP	APPBP2	21.597553911014984
APP	DAB1	22.64950330581225
APP	HGS	52.83303305124972
APP	EGFR	131.63586137523467
APP	KDR	32.90896534380867
APP	MAPK8	57.4978260458602
APP	SNCA	46.596215939727685
APP	CLU	37.749172176353746
APP	APBB1	19.569315510859933
APP	SHC1	57.0
APP	KLC1	18.635000905131047
APP	UBQLN1	55.89693115942243
APP	KAT5	55.41798764158968
APP	BLMH	17.130791982223677
APP	APBA2	16.881943016134134
APP	CLSTN1	10.500363492905846
APP	GSK3B	60.52185336366045
APP	SET	37.749172176353746
APP	IFIT3	18.49324200890693
APP	PARK2	79.54244150137711
APP	MCM10	20.39482449116255
APP	GGA1	32.377610057021165
APP	MAPT	31.77377428706035
APP	YWHAG	61.48106490824372
APP	UBE2M	47.43919679319343
APP	NAE1	18.286084300903774
APP	PSEN1	37.749172176353746
APP	GSN	22.64950330581225
APP	CAV1	28.878717137573013
APP	APBA1	11.204287929653066
APP	APBB2	10.677078252031311
APP	NUMB	29.24038303442689
APP	BCAP31	31.128764832546757
APP	EME1	13.769281745926879
APP	COPS5	62.53032229938585
APP	NOS3	27.221315177632395
APP	HSPD1	39.23009049186606
APP	CRYAB	23.184628698821857
APP	FBLN1	15.0996688705415
APP	APBA3	17.6326961026746
APP	MAPK8IP1	19.95254933509538
APP	CALR	28.248893783651067
APP	PDIA3	23.874672772626646
APP	TGFB1	27.221315177632395
APP	MAPRE1	42.040668056945435
APP	COL25A1	5.805057523994536
APP	HSD17B10	28.733435283504377
APP	APBB3	14.676801434682496
APP	SYVN1	38.49675310984031
APP	FBXL2	22.64950330581225
APP	RNF32	15.0996688705415
APP	ZFC3H1	13.07669683062202
APP	SULF1	5.734339004510935
APP	TM2D1	6.73599266302586
APP	QRICH1	10.481863746230463
APP	ZC3H3	10.49029404584244
APP	GSAP	7.54983443527075
APPBP2	CUL2	17.953711709755776
APPBP2	WDR24	8.581997696578808
APPBP2	RRS1	11.781613760284504
APPBP2	TBL3	5.677917811026744
APPBP2	TCEB1	19.189930232296835
APPBP2	TCEB2	16.92392769044579
APPBP2	RASSF5	8.582986973367557
APPBP2	FSTL1	2.5408826325818077
APLP1	DAB1	6.905770622902216
APLP1	APBB1	5.966629922984742
APLP1	ZNF24	6.510822982364007
APLP1	TSC22D1	4.611213150248596
APLP1	UTP14A	5.323309529108312
APLP1	TK1	6.842471641888516
APLP1	GLP1R	9.187271669533745
APLP1	APBB3	4.474915975741956
DAB1	SOCS1	21.840329667841555
DAB1	SH3KBP1	16.916643331430215
DAB1	LRP2	11.618950038622252
DAB1	SIAH1	18.03233711934025
DAB1	LRP1	12.727922061357853
DAB1	LDLR	4.696720263604974
DAB1	SOCS7	5.861731017510533
CITED2	TFAP2A	7.211195124070015
CITED2	EP300	29.931215278961417
CITED2	SMAD3	21.164875108894364
CITED2	TFAP2C	4.035983324477201
